gadm_L3number,plate_number,province_upper,NUTS_level1,NUTS_level1_name,NUTS_level2,metropolitan,num_stateuni_2023,num_foundationuni_2023,num_foundationvocshool_2023,num_totaluni_2023,first_uni_established,daytime_assoc_stu_m_22_23,daytime_assoc_stu_f_22_23,daytime_assoc_stu_total_22_23,daytime_bach_stu_m_22_23,daytime_bach_stu_f_22_23,daytime_bach_stu_total_22_23,daytime_master_stu_m_22_23,daytime_master_stu_f_22_23,daytime_master_stu_total_22_23,daytime_doc_stu_m_22_23,daytime_doc_stu_f_22_23,daytime_doc_stu_total_22_23,daytime_stu_m_22_23,daytime_stu_f_22_23,daytime_stu_total_22_23,evening_assoc_stu_m_22_23,evening_assoc_stu_f_22_23,evening_assoc_stu_total_22_23,evening_bach_stu_m_22_23,evening_bach_stu_f_22_23,evening_bach_stu_total_22_23,evening_master_stu_m_22_23,evening_master_stu_f_22_23,evening_master_stu_total_22_23,evening_doc_stu_m_22_23,evening_doc_stu_f_22_23,evening_doc_stu_total_22_23,evening_stu_m_22_23,evening_stu_f_22_23,evening_stu_total_22_23,open_assoc_stu_m_22_23,open_assoc_stu_f_22_23,open_assoc_stu_total_22_23,open_bach_stu_m_22_23,open_bach_stu_f_22_23,open_bach_stu_total_22_23,open_master_stu_m_22_23,open_master_stu_f_22_23,open_master_stu_total_22_23,open_doc_stu_m_22_23,open_doc_stu_f_22_23,open_doc_stu_total_22_23,open_stu_m_22_23,open_stu_f_22_23,open_stu_total_22_23,distance_assoc_stu_m_22_23,distance_assoc_stu_f_22_23,distance_assoc_stu_total_22_23,distance_bach_stu_m_22_23,distance_bach_stu_f_22_23,distance_bach_stu_total_22_23,distance_master_stu_m_22_23,distance_master_stu_f_22_23,distance_master_stu_total_22_23,distance_doc_stu_m_22_23,distance_doc_stu_f_22_23,distance_doc_stu_total_22_23,distance_stu_m_22_23,distance_stu_f_22_23,distance_stu_total_22_23,total_assoc_stu_m_22_23,total_assoc_stu_f_22_23,total_assoc_stu_total_22_23,total_bach_stu_m_22_23,total_bach_stu_f_22_23,total_bach_stu_total_22_23,total_master_stu_m_22_23,total_master_stu_f_22_23,total_master_stu_total_22_23,total_doc_stu_m_22_23,total_doc_stu_f_22_23,total_doc_stu_total_22_23,total_stu_m_22_23,total_stu_f_22_23,total_stu_total_22_23,lec_num_prof_m_22_23,lec_num_prof_f_22_23,lec_num_prof_total_22_23,lec_num_assocprof_m_22_23,lec_num_assocprof_f_22_23,lec_num_assocprof_total_22_23,lec_num_assistprof_m_22_23,lec_num_assistprof_f_22_23,lec_num_assistprof_total_22_23,lec_num_lecturer_m_22_23,lec_num_lecturer_f_22_23,lec_num_lecturer_total_22_23,lec_num_researchassist_m_22_23,lec_num_researchassist_f_22_23,lec_num_researchassist_total_22_23,lec_num_all_m_22_23,lec_num_all_f_22_23,lec_num_all_total_22_23
11,9,AYDIN,TR3,Ege,TR32,1,1,0,0,1,11.07.1992,7034,7100,14134,10891,11711,22602,1112,1299,2411,310,441,751,19347,20551,39898,2389,1729,4118,1969,1421,3390,371,214,585,0,0,0,4729,3364,8093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35,42,0,0,0,7,35,42,9423,8829,18252,12860,13132,25992,1490,1548,3038,310,441,751,24083,23950,48033,262,146,408,137,124,261,222,198,420,176,214,390,185,198,383,982,880,1862
12,10,BALIKESIR,TR2,Bati Marmara,TR22,1,2,0,0,2,11.07.1992,6905,5002,11907,11158,12201,23359,1478,1333,2811,252,230,482,19793,18766,38559,2114,1397,3511,3690,2168,5858,208,164,372,0,0,0,6012,3729,9741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,102,415,0,0,0,21,0,21,0,0,0,334,102,436,9332,6501,15833,14848,14369,29217,1707,1497,3204,252,230,482,26139,22597,48736,197,83,280,178,105,283,268,205,473,205,158,363,219,219,438,1067,770,1837
13,74,BARTIN,TR8,Bati Karadeniz,TR81,0,1,0,0,1,22.05.2008,2253,2062,4315,4592,4618,9210,663,562,1225,45,55,100,7553,7297,14850,860,780,1640,839,593,1432,0,2,2,0,0,0,1699,1375,3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,30,156,0,0,0,126,30,156,3113,2842,5955,5431,5211,10642,789,594,1383,45,55,100,9378,8702,18080,33,17,50,85,44,129,111,71,182,76,90,166,84,80,164,389,302,691
14,72,BATMAN,TRC,Güneydogu Anadolu,TRC3,0,1,0,0,1,29.05.2007,2807,2159,4966,2828,2308,5136,1264,723,1987,68,25,93,6967,5215,12182,1289,802,2091,143,51,194,841,421,1262,0,0,0,2273,1274,3547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,2961,7057,2971,2359,5330,2105,1144,3249,68,25,93,9240,6489,15729,32,5,37,69,10,79,146,59,205,82,52,134,49,27,76,378,153,531
15,69,BAYBURT,TRA,Kuzeydogu Anadolu,TRA1,0,1,0,0,1,22.05.2008,2221,2192,4413,2281,2864,5145,601,326,927,62,15,77,5165,5397,10562,528,741,1269,814,837,1651,0,0,0,0,0,0,1342,1578,2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,398,722,0,0,0,0,0,0,324,398,722,2749,2933,5682,3419,4099,7518,601,326,927,62,15,77,6831,7373,14204,15,1,16,62,15,77,107,56,163,107,50,157,34,44,78,325,166,491
16,11,BILECIK,TR4,Dogu Marmara,TR41,0,1,0,0,1,29.05.2007,3759,3085,6844,4572,4196,8768,815,497,1312,83,75,158,9229,7853,17082,323,366,689,607,398,1005,159,91,250,0,0,0,1089,855,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4082,3451,7533,5179,4594,9773,974,588,1562,83,75,158,10318,8708,19026,49,17,66,65,41,106,130,107,237,153,108,261,53,51,104,450,324,774
17,12,BINGOL,TRB,Ortadogu Anadolu,TRB1,0,1,0,0,1,29.05.2007,3420,3009,6429,3164,3296,6460,639,353,992,171,34,205,7394,6692,14086,544,626,1170,440,624,1064,253,110,363,0,0,0,1237,1360,2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3964,3635,7599,3604,3920,7524,892,463,1355,171,34,205,8631,8052,16683,49,1,50,59,2,61,175,50,225,141,93,234,104,49,153,528,195,723
18,13,BITLIS,TRB,Ortadogu Anadolu,TRB2,0,1,0,0,1,29.05.2007,3082,2693,5775,1759,2066,3825,626,269,895,16,15,31,5483,5043,10526,3,0,3,136,51,187,93,31,124,0,0,0,232,82,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,320,362,0,0,0,0,0,0,0,0,0,42,320,362,3127,3013,6140,1895,2117,4012,719,300,1019,16,15,31,5757,5445,11202,21,3,24,48,15,63,90,50,140,128,49,177,59,46,105,346,163,509
19,14,BOLU,TR4,Dogu Marmara,TR42,0,1,0,0,1,11.07.1992,3277,2956,6233,7955,10216,18171,1065,1149,2214,280,290,570,12577,14611,27188,635,379,1014,1378,1368,2746,25,33,58,0,0,0,2038,1780,3818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,561,732,27,12,39,0,0,0,198,573,771,3912,3335,7247,9504,12145,21649,1117,1194,2311,280,290,570,14813,16964,31777,196,66,262,132,84,216,196,177,373,127,110,237,212,225,437,863,662,1525
20,15,BURDUR,TR6,Akdeniz,TR61,0,1,0,0,1,17.03.2006,5348,4673,10021,7245,8265,15510,1101,1124,2225,186,168,354,13880,14230,28110,1292,1461,2753,1147,1140,2287,196,96,292,0,0,0,2635,2697,5332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,27,124,0,0,0,97,27,124,6640,6134,12774,8392,9405,17797,1394,1247,2641,186,168,354,16612,16954,33566,102,42,144,92,61,153,187,149,336,201,121,322,58,70,128,640,443,1083
21,16,BURSA,TR4,Dogu Marmara,TR41,1,2,1,0,3,11.04.1975,9103,6935,16038,19673,20745,40418,3304,3583,6887,1332,1223,2555,33412,32486,65898,3600,1930,5530,4450,3035,7485,543,399,942,0,0,0,8593,5364,13957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12703,8865,21568,24123,23780,47903,3847,3982,7829,1332,1223,2555,42005,37850,79855,515,260,775,181,195,376,230,234,464,306,355,661,348,424,772,1580,1468,3048
22,17,CANAKKALE,TR2,Bati Marmara,TR22,0,1,0,0,1,11.07.1992,6552,5294,11846,10410,12776,23186,1702,2024,3726,366,429,795,19030,20523,39553,1276,614,1890,2399,1928,4327,74,99,173,0,0,0,3749,2641,6390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,577,627,1204,0,0,0,581,628,1209,7832,5909,13741,12809,14704,27513,2353,2750,5103,366,429,795,23360,23792,47152,244,97,341,178,128,306,280,248,528,225,218,443,206,238,444,1133,929,2062
23,18,CANKIRI,TR8,Bati Karadeniz,TR82,0,1,0,0,1,29.05.2007,2362,1482,3844,4199,4949,9148,2563,1642,4205,194,136,330,9318,8209,17527,424,344,768,544,557,1101,48,47,95,0,0,0,1016,948,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,52,131,0,0,0,79,52,131,2786,1826,4612,4743,5506,10249,2690,1741,4431,194,136,330,10413,9209,19622,44,18,62,73,39,112,111,130,241,93,65,158,84,96,180,405,348,753
24,19,CORUM,TR8,Bati Karadeniz,TR83,0,1,0,0,1,17.03.2006,3812,3201,7013,3979,3845,7824,861,679,1540,132,85,217,8784,7810,16594,49,79,128,602,562,1164,72,23,95,0,0,0,723,664,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3861,3280,7141,4581,4407,8988,933,702,1635,132,85,217,9507,8474,17981,66,17,83,75,36,111,134,83,217,148,94,242,111,109,220,534,339,873
25,20,DENIZLI,TR3,Ege,TR32,1,1,0,0,1,11.07.1992,5161,5288,10449,11850,12096,23946,1141,1102,2243,339,420,759,18491,18906,37397,929,619,1548,3971,2329,6300,87,133,220,0,0,0,4987,3081,8068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6090,5907,11997,15821,14425,30246,1228,1235,2463,339,420,759,23478,21987,45465,275,145,420,148,133,281,236,200,436,214,223,437,302,356,658,1175,1057,2232
26,21,DIYARBAKIR,TRC,Güneydogu Anadolu,TRC2,1,1,0,0,1,30.11.1973,5358,3943,9301,11181,9700,20881,1404,1043,2447,564,268,832,18507,14954,33461,75,7,82,799,812,1611,167,150,317,0,0,0,1041,969,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,708,1308,1,0,1,0,0,0,601,708,1309,5433,3950,9383,12580,11220,23800,1572,1193,2765,564,268,832,20149,16631,36780,292,84,376,136,58,194,221,110,331,172,76,248,351,274,625,1172,602,1774
